"","rt_between","degree"
"enotsluap",210,4
"opendatanz",2028.27349341892,18
"mwyres",0,2
"GovhackBallarat",7343.54557743485,73
"OpenDataQld",3859.40812252302,60
"TeamDropTable1",71.8617959383174,26
"GovHackAU",80516.4900234832,512
"RaquelBarbiell1",0,1
"Corinna_mM",0,2
"uts_mdsi",0,6
"Pock3t_Rock3t",0,1
"GovHackWyndham",2047.17620479609,23
"alicexuhong",32.178836626948,12
"geoffgourley",0,1
"GovHackVIC",9404.30405671514,104
"govhack_sa",14847.6085455878,143
"TheRealist_1984",222.861693475037,12
"RealAngelRobe",115.130197416454,13
"BrimbankCouncil",0,29
"llThingsCitizen",0,1
"LouiseLandess",0,2
"GovHackAU @Terasa38901973 @govhack_sa",0,1
"pastcompute",8.48224231579919,3
"GovhackChCh",491,9
"GovHackParra",456.243206228761,13
"ICTandDigitalSA",806.603050089371,73
"batteryshed",0,4
"Glen_Dhu",0,6
"enterprizetas",0,6
"jamesriggall",4287.93830376605,32
"_developit",0,1
"ok_lyndsey",633,5
"HelenCThompson",586.479150881069,9
"govhack_ham",0,7
"GradyHooker",0,1
"ODIAUNetwork",0,6
"GovHackGC",1068.73428891679,31
"GovHackQld",11449.1179289878,83
"LGshades",0,1
"TRON_Lord",0,2
"zviko_masiiwa",840.637704719921,16
"DonRudi",0,1
"ronmader @GovHackNZ @GovHackAU",0,1
"VitoCarrozzo",0,6
"Vic_LeadSci",0,1
"AthulaBogoda",0,1
"GabertPhilippe",0,1
"nodalconz",0,5
"GovHackNZ",6932.47977257232,40
"NicandSas",0,2
"frostickle",381.828037446117,15
"NotTheSthEaston",0,2
"AusGovFinance",0,15
"GovHackAU @dajscott89",0,1
"JeffPulford",0,3
"missblissa76",0,2
"GovHackCBR",16140.8106843948,144
"TheMartianLife",0,1
"parisba",508.3,20
"WgtnCC",524.60518198538,6
"justinepepp @WgtnCC",0,1
"frankarr",1208.43355245386,25
"hannahcancode",0,1
"SchoonerLita",0,1
"VIPinkPerson",19.6148872017132,4
"i_am_nw",288.372219250452,10
"alevergara78",0,3
"DrJosh9000",0,3
"morganiseit",1461,5
"kraazykiwi",0,14
"GovHackAU @i_am_nw",0,1
"govhackmelb",6013.95998797126,60
"gpseek",0,2
"NTRowan",1078.8877817622,42
"launtel",0,3
"misskokolib",792.61791402284,17
"MallettCaroline",0,2
"TimLaris",0,1
"_emieem",0,3
"JustineResta",0,32
"Janet741",0,1
"SAcommunity",254.619685668897,9
"piawaugh",7882.48552785405,35
"faristevi1971",0,1
"chloehensel",0,1
"richiekhoo",0,2
"EasyHomeLabs",0,1
"govhackwa",2596.17896987825,51
"justkorz",0,3
"GovHackNSW",341.120224375885,22
"mil @GovHackCBR",0,2
"PerlSawyer",0,1
"FastMail",210,4
"elmadilly",0,1
"mattcen",0,1
"mil",491.150051387461,3
"rensa_co",1.15005138746146,2
"theuntergeek",0,1
"indihj",0,1
"pdrakebrockman",0,8
"Geoffmuse",0,5
"GovHackSydney",2556.92118448851,43
"Morwellians",0,1
"IT_MRobinson @GovHackAU @LatrobeValleyAu",0,3
"dadoonet",0,1
"MatthewPurcell",0,10
"KevKeith",9.37403074300321,8
"andrewjgrimm",0,1
"TeremTech @alberto_camillo @GovHackAU",0,2
"corrinneheading",1522.47921385352,21
"wendyluuvu",8.59348505606046,3
"GovHackTas @GovHackAU @kcidau @parisba @launtel",0,1
"_TimMcMahon",0,1
"Rick_O_Connor",0,1
"GovHackCasey",1403.43143468066,19
"Cloudmine_Shan",0,1
"Terasa38901973",0,4
"richardtubb",360.403155682843,14
"SallyRMelb",0,10
"antoinebrachet",0,5
"CGSYEAR7GHACK @GovHackCBR 
@GovHackAU",0,1
"richardvenusfo",211,9
"hackaus",1154.65104383439,20
"zviko_masiiwa @GovHackAU",0,1
"joelith",491,11
"m1chaelwalker @InfiniteWilko",0,2
"Chooks_SA",1521.3715223115,20
"aron_hausler",0,4
"zviko_masiiwa @richardvenusfo @Chooks_SA @govhack_sa",0,1
"DavidLockeACNC",0,1
"talieteakle",1.125,4
"wallacelong",855.738576153061,36
"FireStation101",2945.67177381686,38
"kimchy",0,1
"Ganjm001",31.2079346746393,11
"drpuffa",0,3
"angkanap @GovHackAU @govhackcbr",0,1
"CGSYEAR7GHACK @GovHackCBR 
@Canberra",0,1
"TasCatalyst",0,3
"jamesriggall @govhack_sa",0,3
"GovHackTas",215,9
"kattekrab",0,1
"BonnieWildie",0,2
"mjksinclair",0,4
"DerrickCHLeong",0,3
"astrofriv",0,1
"RexSmeal",0,7
"joshuawbarr",0,1
"m1chaelwalker",229.746704399705,7
"rowan_peter",0,1
"FCTweedie",632.427482436237,6
"MatterOfStats",0,1
"pri_ramkrish",0,1
"Ganjm001 @zviko_masiiwa @Chooks_SA @govhack_sa",0,1
"richardvenusfo @zviko_masiiwa @Chooks_SA @govhack_sa",0,2
"In_The_Taratory",0,9
"coffeemiss",0,1
"HistorySA",653.232280926528,7
"GovHackBne",2028.16097859546,51
"MishManners",1615.90562193244,31
"HeathWallace",0,1
"milesmenegon",0,2
"IpswichCouncil",210,6
"debashis_dutta",0,1
"Valley_Software",0,1
"_ryangao_",0,1
"bizbuddyhub",0,5
"forloop",0,2
"thelibstyles",0,3
"Azure_Kyte",0,1
"connordeckers",0,1
"SuperRoach",707.247488698824,13
"JennyKayNZ @lin_nah @GovHackNZ @GovHackAU",0,1
"waterpenny10",0,1
"kfonglim",0,2
"The_McJones",14.3,8
"thinkinreverse",0,7
"RStewartAllen",0,7
"data_govt_nz",1742.42902621218,16
"justinepepp",0,1
"opendatanz @WgtnCC",0,6
"amanvincent",0,4
"jasonimms",0,1
"mdjp85",0,1
"GrowingDataFdt",1115,13
"ChiefDisrupter",0,2
"AL_AllenL",0,2
"NSydInnovation",0,2
"KellyGrigsbyCEO",0,1
"devopswannabe",50.4718823668973,6
"craigthomler",3598.4870436739,39
"ruciak",0,1
"SWilson_AU",0,1
"logancampus",0,3
"jlowe000",0,9
"startuptasmania",0,3
"ICCUniSA",1585.17272777106,40
"HughRundle",0,2
"morethangrass",213,21
"jamesryles",0,4
"Tweet2MP",0,2
"mariehjohnson",0,1
"Itohanodekunle",0,1
"opencontracting",0,5
"supergran41",0,1
"EdNZ",0,1
"ms_mary_mac",0,3
"QChiefEntrepren",0,2
"cameronfindlay",460.966701369662,9
"datakid23",0,1
"helenepower_co",0,1
"shewgirl",0,1
"ShaquilleRay",0,1
"karl_sellmann",0,3
"AngusTaylorMP",0,12
"SyneDrum",0,1
"rowlandm",0,1
"ChrisO_Connor",0.75,10
"kargold100",0,2
"Wonna",0,1
"largerama",0,2
"dsi4au",0,1
"CodeCadets",0,14
"kenatgriffith",0,3
"JAGarrick",1118.66666666667,19
"BSBot01",0,7
"murudau",0,12
"blairhudson",222.046391332237,14
"e2discover",0,1
"nardwebster",0,3
"nsg223",0,2
"ezankov",0,2
"karl_sellmann @UniversitySA",0,2
"nzicecool",0,1
"WyndhamCouncil",0,2
"lin_nah",2580.64717237424,41
"indiaopendata",0,1
"petermarxy",852.634746792449,18
"karl_sellmann @govhack_sa",0,1
"govworksnz",0,2
"innovation_rtw",0,2
"Stats_NZ",0,4
"HOSKINMANDY22",0,2
"govhack_sa @HOSKINMANDY22",0,1
"jacqui_yuan",0,1
"wes_yuan",0,1
"tas_666",0,1
"ShonaChis27",1,2
"GovHackSydney @GovHackSydney",0,2
"A_Sinodinos",0,11
"leogaggl",0,3
"IT_MRobinson",0,6
"JennyIsa3",0,2
"pinnckoay",0,2
"AudreyMatty",0,1
"GeoscienceAus",1475.86789003325,29
"Techman_83",0,2
"tobybellwood",461.744259289007,10
"vgirish",0,2
"PeterKaridis",0,1
"GovHackAU @govhackwa",0,1
"koolth",465.813189305793,14
"engage2govern",0,3
"zBeer",422,14
"maxious",0,2
"rv41stDegree",0,1
"michell91762786",0,1
"iBadawi",34.3630991808977,9
"faustgar",211,4
"JoshDHolmes",0,3
"Bipeds4Justice @govhack_sa",0,1
"balendran",0,1
"_KatherineN",0,1
"cybershellsec",0,1
"PickUpAustrali1",0,1
"HuskieHacks",0,5
"bot_innovation",0,2
"MishManners @joelith",0,1
"itknowingness",0,1
"biconnections",0,1
"carly_io",0,2
"AstridGoss",0,1
"TERN_Aus",0,3
"Data_Vic",30.4090274278704,5
"Chooks_SA @zviko_masiiwa @govhack_sa",0,2
"kcarruthers",0,2
"PerpetuaTurner",0,1
"TheLeadSA",0,2
"PedareCC",0,1
"djp1974",0,8
"brbeswick",0,2
"rdasc",0,3
"MerrickSpain",0,4
"elumenarti",0,1
"imaqsood",0,1
"vicwray",0,1
"PawseyCentre",0,2
"data_luke",0,6
"ViewportTech",0,1
"IdeasBoomAu",0,6
"cciturria",0,1
"alessiasacchi",0,2
"shaila309",0,1
"musitecltd",0,1
"beet_keeper",1023.81959646592,5
"DigitalNZ",0,1
"theiNshowonline",0,1
"brightsparkler",0,1
"scibidoo",0,1
"Mithun_Aggarwal",0,7
"arafkarim",0,2
"Rory_Medcalf",0,1
"BOM_au",0,15
"govhack_doggie",0,1
"4DevsByDev",0,1
"beattie_twit",0,5
"_digitalfutures",0,1
"TheGratitudeEx",0,1
"Data61news",3779.05149764207,25
"iKenSpatial",0,1
"death667b",0,2
"ChadRenando",0,8
"Cyber_Roo",0,1
"petescarth",0,1
"s3cmas73r",0,1
"OzmoreWayne",0,1
"techAU",0,1
"robn",0,2
"Sandra70256242",0,1
"devopswannabe @GovHackNSW",0,1
"CherieEllisNZ",0,2
"mikekreuzer",0,1
"GovHackCBR @GovHackAU @misskokolib",0,1
"u_hardy",0,1
"TPPccbc",0,5
"IPAustralia_OCE",0,8
"MattMschultz77",0,1
"bhackerspace",214.51831435732,12
"KathyReid",0,6
"linuxaustralia",0,4
"Louisedenoon",0,2
"EbonyBallintyne",0,1
"Cyber_Shed",0,3
"djmer1",0,11
"TheRealist_1984 @govhack_sa",0,3
"winza1985",0,1
"YVWater",0,1
"fang",0,1
"sangixox",0,1
"jzgarnett",0,1
"AlanConnect",0,1
"GSAVictoria",0,4
"JennyKayNZ",1843.42420885194,16
"LCSTEAMNGN",0,1
"andrewperry",1,2
"UQ_EAIT",0,1
"pam_damonium",0,2
"jacki_liddle",0,1
"ScienceGovAu",0,4
"AVERTtrial",0,1
"RobynJCooper",0,2
"LGAofSA",0,3
"SSENSW",0,1
"Edprocure",0,1
"IPAustralia",448.782739079748,14
"Vontweeter",0,8
"jameswoollard",0,1
"felicityloughre",0,1
"kippjohn",0,1
"JerseyPalnter",0,1
"keranm",0,1
"NMKenny",0,2
"BernHyland",491.190980710484,11
"walkingadvert",0,3
"stysoe",0,1
"rachsalvadora",1.04478749761769,3
"Accenture_ANZ",0,26
"GovhackBallarat @ballarattp",0,1
"cunningham_cch",0,1
"MacyKaufman11",0,1
"filipvh",0,1
"GeoAusData",527.974433919677,28
"Darcy_Rooster",0,1
"Aaarghhhhhh",0,1
"mackaysuzie",0,2
"deniseshrivell",0,2
"teh_aimee",1325.13476101312,9
"JoMangee",0,3
"rfitzgerald",0,3
"macgibbon",0,1
"miladyred",0,1
"GovHackSC",983,4
"AdvanceQld",0,1
"RoboticsRev",0,1
"JustineMontes7",0,1
"stevepurkiss",0,1
"thereseflapper",0,2
"GSwinbourne",0,1
"DataTfNSW",5,7
"DanielWoodQLD",0,1
"tjoepar",0,18
"DigitalQld",0,1
"iMarkPhillips",0,3
"prevamviwa1987",0,1
"poojaudani55",0,1
"ivacielo",0,1
"dis_comrade",0,1
"adelsalison @govhack_sa @ICCUniSA @UniversitySA",0,4
"WesleyWilson",0,1
"mr_natbug",0,2
"JulianneHays11",0,1
"sahrendipity",0,1
"CierraKirby5",0,1
"hack5unleashed",0,1
"AmberAv86698389",0,1
"geomcaleese",0,1
"GovHackNT",2125.22516609016,17
"Petermc171",0,1
"adam_mowlam",0,1
"OttLegalRebels",0,1
"TheHaag1",0,1
"vk2utc",0,1
"nasusmj49",0,1
"ADL_Archivist",0,2
"desplesda",0,1
"KKAusRuminants",0,1
"gavintapp",0.711939337452334,2
"AccenturePubSvc",0,4
"TheGeekJo",0,1
"jolon",0,3
"JulianWoodhouse",0,1
"GovHackSydney @Matt_KeanMP",0,4
"Ganjm001 @govhack_sa",0,7
"jane_carps",0,2
"david_adamson",498.428571428571,11
"CDUni_VC",0,1
"KatyaHenry",0,1
"MakeHackVoid",0,1
"csirac2",0,1
"sal_weavers",0,1
"AustBusinessNet",0,1
"Trends5AU",0,1
"betheworrall",0,1
"somersolvit",0,1
"statelibrarynsw",0,1
"simonster69",0,4
"treen42",0,4
"stellaorbit",0,2
"cumming_jon @GovHackCBR",0,6
"JBMelbs",0,2
"GovHackAU @launtel",0,1
"danielksloan",0,1
"sara_stace",0,1
"samanthawong_au",0,1
"MDC_Aus",0,1
"kelhutchinson",20.8208962764673,3
"KimRedfern3",0,1
"markagray",0,1
"smartcitiesanz",0,1
"LocationEurope",0,1
"GSDIAssn",0,2
"lesleychenoweth",0,2
"LoganRedlandRDA",0,6
"tractorator",0,1
"TheotherMCG",0,3
"PaulJohnHodgson",0,1
"gringene_bio",0,3
"WhyteCo",0,1
"mongrel43",142.573855968754,5
"paramsatya",0,2
"myleejoseph",0,2
"FireStation101 @FireStation101",0,3
"monashGENERATOR",0,1
"tleeuwenburg",0,5
"actgovernment",2522.31636321195,21
"WeAreBrisbane",0,1
"iamcraigclark",0,3
"CoreNet_AU",0,1
"thecolourfool",0,1
"informationarc",422,3
"lindaamccall",0,1
"BenMitraKahn",484,8
"RedlandCouncil",0,1
"manicolo_emma",0,3
"mattswards",0,3
"BelindaCoates",2.16753246753247,6
"IreneKitsara",0,1
"plabg",0,1
"FBCoach_Mahon",0,2
"CanberraGrammar",139.333333333333,7
"psyex",0,2
"dasweaverd",0,3
"GovHackSydney @Matt_KeanMP @GovHackSydney",0,2
"Matt_KeanMP",0,5
"datansw",0,2
"cumming_jon",0,4
"kbuttfield",0,1
"SusanCarchedi",0,5
"Emotivate",195.333333333333,4
"data_govt_nz .@GovHackNZ",0,1
"QUTfoundry",0,3
"SAMengel3",0,1
"CGSAsiaEd",0,3
"RobClout",0,4
"Data_Vic @JBMelbs",0,1
"erin_kenna",0,1
"GovHackVIC @melbactivist",0,1
"cartoross",0,1
"YourGoldCoast",0,1
"BenMaliel",0,1
"richcelm",0,1
"DavidBromage",0,2
"sean_audain",0,1
"simulationagent",0,1
"_RandallAustin",0,1
"TorangeJuice",0,1
"LoganRedlandRDA @CrKarenWilliams",0,1
"MayorLukeSmith",0,1
"LoganRedlandRDA @MayorLukeSmith",0,1
"RDataMining",0,1
"CanberraDataSci",0,1
"Brodie_Jackson",0,2
"NicoleWill100",0,1
"CrJohnConnolly",0,2
"CouncilSCC",498,13
"sparkbureau",0,7
"klbutler65",0,2
"spedavoli",0,1
"proxima_io",0,1
"timeimp",0,1
"NERAnetwork",0,1
"whatnick",0,1
"MySunshineCoast",0,3
"TransportforNSW",0,1
"noosaboardroom",0,1
"nataliaalbert",0,1
"Digital_SC",0,2
"FBAlliance_",0,1
"hackdunedin",0,1
"InternetNZ",0,6
"marc_dorey",0,1
"earlbutterworth",0,2
"eduardlio",0,1
"pjf",0,1
"adam_kent",0,1
"Sonictail",0,1
"MJLawie",0,1
"localstories1",0,1
"lesleyseebeck",0,1
"TablelandsArts",0,2
"alicadaly",0,2
"Eurocentrique",0,1
"YouthFed1",0,2
"voteholder",0,2
"ballaratcourier",0,6
"RMrisk",0,11
"MarlonGonsalv24",0,2
"2BDgz",0,1
"GriffithLibrary",0,10
"MapCurator",0,5
"MsLods",0,1
"DisruptorsHbk",0,1
"arunkarthik89",0,1
"ReesbyOfficial",0,4
"LaundyCraigMP",0,1
"jadecavalcante_",0,1
"austmathstrust",0,1
"hunt5man",0,1
"CSIROnews",0,1
"Innov_Partner",0,4
"shelleycopsey",0,3
"BronPollock",0,1
"amvgreenberg",0,1
"socrata .@actgovernment",0,1
"lin_nah @piawaugh",0,1
"maitlandwaters",0,2
"hackyhourGU",0,1
"SMinney",0,2
"aurin_org_au",0,5
"SouBundanga",0,1
"eolh",0,1
"AllanBarger",0,1
"MJ_Leaver",0,1
"erstkate",0,1
"ABSCensus",0,1
"judysuthrlandnz",0,1
"danrandow",0,1
"xvlOG",0,1
"t_s_institute .@actgovernment",0,1
"WangWeikong",0,1
"juanda_zulu",0,1
"Cloudmine_Shan @GovHackNT",0,1
"sherro58",0,2
"dottechdomains",0,2
"geoshburton",0,1
"mcne65",0,1
"GeoAusLibrary",0,2
"mistiub4",0,1
"WaterDecisions",0,1
"JESSTHESEQUEL",0,1
"EmmyMBWilson",0,1
"rrichard09",0,1
"SiliconBeachMel",0,5
"AgentOrangeAUS",0,1
"mrjwo",0,2
"CMUAustralia",0,1
"GovHackAU @LDexterMiller",0,1
"damienjbarnes",0,1
"UniversitySA",0,2
"Pryor365",0,4
"getlearning",0,1
"get_stem",0,1
"alberto_camillo",0,1
"KoulaliAchraf",0,1
"AdelaideSmart",0,8
"SueEllen32",0,3
"BenMitraKahn @alicadaly @GovHackAU @govhackmelb @IPAustralia_OCE",0,4
"realsheldonrego",0,1
"VicRamanauskas",0,3
"cityofballarat",0,1
"RDA_GS",0,1
"accenturejobanz",0,2
"blackswantrade",0,1
"chongyee",0,2
"AusisEdu",0,1
"GovHackVIC @corrinneheading",0,1
"Outpost_Zebra",212,3
"paws101",0,1
"trishrow",0,2
"smartcityfeed",0,6
"PlayfordCouncil",0,4
"energycoin",0,2
"RexCabinet",0,1
"timothyinau",0,1
"nzoss",0,10
"deSErtHUB",0,1
"GovHackAU @Accenture_ANZ @GovHackNZ",0,1
"queengaylew",0,1
"venusinformatix",0,1
"anne_k1001",0,1
"qcifltd",420,10
"avtrifonov",0,1
"QFAB_Bioinfo",0,1
"JeremyDupuit",0,1
"corrinneheading @CraigThomler",0,2
"Chrisbus888",0,2
"wentale",0,2
"bcassociationau",0,1
"ross_gayler",0,1
"Like_Rob",0,1
"normnz",0,4
"MoiraDes",0,1
"viv_allen",0,1
"leigit_",0,2
"nabiac85",0,1
"MelBioInf",0,1
"ExaminerOnline",0,1
"xurizaemon",0,2
"paulinesu",0,1
"eey0re",0,2
"Griffith_Uni",0,1
"GriffithLibrary @GovHackAU",0,5
"SA_EPA",210,5
"Stretton_Centre",0,1
"camybobany",0,1
"CodeforAus",0,2
"A_Comito",0,3
"govhack_sa @GovHackAU",0,2
"donnaanthes",0,1
"SecurityNews6",0,1
"CharEKing",0,1
"jono_ball",0,1
"HackOutNinja",0,1
"PatriciaKimtia",0,1
"CityOfCasey",0,4
"lara_silbert",0,1
"RichardSBlewett",0,1
"mshoebri",0,1
"SLBaldry",0,1
"MyOtherK",0,1
"GovHackNZ @JulianWoodhouse @teh_aimee @pm4gis",0,2
"verbatorium",0,1
"TroveAustralia",0,12
"Info_Aus",0,1
"leifhanlen",0,2
"GovHackAU @Data61news",0,3
"AshishQLDAU",0,2
"alia_p",0,1
"JordanTzvetkov",0,1
"glam_peak",0,1
"Digital_Casey",0,4
"Ulupna67",0,1
"JulannaHennessy",0,1
"MichelleKothe",0,1
"ALIAnls",0,1
"kateauty",0,2
"JaneDorrian",0,1
"IndustryGovAu",0,4
"IndiBlu",0,1
"simonleobrown",0,1
"essjayeff",0,1
"EnvComm_ACT",0,2
"RHoKSydney",0,1
"stuart_raewyn",0,1
"WhanganuiCCI",0,1
"TimMcGee",0,1
"micblackau",0,1
"KamaCathy",0,1
"rosariodpsc",0,2
"IAP2A",0,2
"Taphophile_au",0,1
"abccanberra",0,1
"KateHack1",0,1
"timClicks",0,1
"NSLA",0,1
"wikiclubwest",0,1
"leowmjw",0,1
"MMarahatta",0,1
"Jericho106",0,1
"DataCentreUG",0,1
"walkerdenc",0,1
"TheSDDC",0,1
"xjamesx1999",0,1
"Serious_Riley",0,1
"Asher_Wolf",0,1
"PauletteP",0,1
"nzgizmoguy",0,2
"nz_open",0,1
"lightweight",0,1
"aileengemma",0,2
"lisabennetto",0,2
"sensingtasmania",0,2
"jesse_bryant",0,1
"finbaromallon",0,1
"Transport_CBR",0,1
"follysantidote",0,1
"MelissaBRyan01",0,1
"minus34",422,4
"pitchregional",0,1
"GovHackAU @Ganjm001 @pitchregional @govhack_sa",0,2
"RDAWheatbelt",0,1
"THELINK_ECU",0,1
"christopherhire",0,1
"partnershipper",0,1
"CC_Aotearoa",0,2
"GeoscienceAus .@GeoAusData",0,1
"fiqus",0,1
"Phil_Wheeler",1899,11
"TravCharlton",0,1
"robbielove79",0,1
"KristyKokegei",0,7
"jeanettepope1",0,1
"MarianneNorrman",0,1
"BenMitraKahn @GovHackAU @IPAustralia",0,3
"ixdatuq",0,3
"spokenly_",0,1
"EchoNZ2017L",0,1
"canfrontend",0,2
"kristinalford",0,1
"ashleyjdalton",0,1
"CatherineM__",0,1
"justinepepp @DunedinNZ @GovHackNZ",0,3
"iBadawi @GovHackParra @CollaboratoryAU",0,1
"NicDenElzen",0,1
"bubuwuena",0,1
"justinepepp @clarecurranmp",0,2
"markjohnssy",0,1
"SpatialGirl",0,1
"aussielunix",0,1
"RCCUQ",0,1
"keithbaldry",0,1
"DIHubNT",0,1
"MarcusMapMaker",0,1
"YourFutureSA",0,1
"metaduck101",0,1
"careering9",0,1
"silverdeltaMD",0,1
"MiramarMike",0,1
"clarecurranmp",0,1
"five15design",0,1
"dallmitc",0,1
"EITHB",0,1
"DrRimmer",0,1
"QUT_IP",0,1
"ACSWAofficial",0,2
"mvkennelly",0,7
"SerrynEagleson",0,1
"GovhackBallarat @govhackau",0,3
"krisgesling",0,1
"ChrisSteelMLA",0,1
"cinalandli1982",0,1
"TheGossamerFile",0,7
"spinacwabar1973",0,1
"thewillymac",211,2
"BritniBolton5",0,1
"SandyBurgoyne",0,1
"communityep",0,1
"KidsWantu",0,1
"aaDHumanities",0,1
"aetheriostenshi",0,2
"twitterapi",0,2
"KelliArroyo7",0,1
"rob_gc",0,1
"CGSFoundation",0,1
"GovHackAU @sensingtasmania @GovHackTas",0,1
"servicedesignbt",0,2
"AnnaGurnhill",0,1
"Mahsabanoo",0,1
"CBR_IN",0,1
"verbman",0,1
"IanTLS",0,1
"congtimensi1983",0,1
"tunza81",0,1
"HeidiHasting",0,2
"SHYJohnjohn",0,1
"realisecanberra",0,1
"376b78fc7223",0,1
"Oz_g3n1u5",0,2
"dmatthewsact",0,1
"PeteSteelePT",0,1
"taniaparkes",0,1
"govhack_sa @techfugeesaust1 @Ganjm001",0,1
"StartFutureNow",0,1
"598pt41",0,1
"GovHackGeelong",0,4
"stringy",0,1
"HelenAnstis",0,1
"ivyclark",0,2
"votingnz",0,1
"nzretweet",0,2
"nzcharities",0,1
"MyriadLive",0,1
"Rinilot",0,1
"ldundas96",0,1
"tahacbobsre1976",0,1
"theultimateron",0,1
"ClaireBelly",0,1
"BesITsystems",0,1
"colfai",0,1
"webkey_it",0,2
"terrybrett",0,1
"tiggsy60",0,1
"r3dux",0,1
"scottisue",0,1
"twitterapi
@GovHackAU",0,2
"hls_software",0,1
"RHoKAustralia",0,1
"AEL_DeanR",0,1
"servantofchaos",0,1
"tonystevenson",0,1
"MrAlexar",0,1
"DavidRo73326806",0,1
